89
0 0 0.00
1 1 10.86
2 2 30.0
3 3 30.0
4 4 31.10
5 5 226.82
6 6 226.53
7 7 226.31
8 8 226.49
9 9 213.95
10 10 30.56
11 11 30.46
12 12 30.90
13 13 30.54
14 14 30.38
15 15 30.93
16 16 30.35
17 17 30.39
18 18 30.74
19 19 30.72
20 20 46.60
21 21 169.51
22 22 185.34
23 23 253.29
24 24 298.45
25 25 215.77
26 26 190.39
27 27 173.19
28 28 292.56
29 29 287.72
30 30 171.39
31 31 121.05
32 32 147.27
33 33 156.66
34 34 166.06
35 35 104.61
36 36 166.75
37 37 160.83
38 38 238.36
39 39 207.73
40 40 158.76
41 41 250.00
42 42 237.46
43 43 188.12
44 44 110.25
45 45 187.07
46 46 210.17
47 47 167.36
48 48 222.04
49 49 279.37
50 50 171.05
51 51 158.08
52 52 136.23
53 53 110.25
54 54 156.76
55 55 177.17
56 56 114.83
57 57 279.87
58 58 279.76
59 59 280.53
60 60 281.84
61 61 255.41
62 62 265.47
63 63 212.92
64 64 283.63
65 65 101.56
66 66 75.54
67 67 237.82
68 68 53.17
69 69 223.45
70 70 30.64
71 71 30.64
72 72 30.79
73 73 30.44
74 74 30.36
75 75 30.57
76 76 143.65
77 77 123.30
78 78 254.29
79 79 30.23
80 80 30.01
81 81 30.78
82 82 46.64
83 83 200.96
84 84 295.83
85 85 83.63
86 86 292.76
400 1000 627.86
